date,n
2017-02-10T00:00:00+00:00,31301
2017-02-17T00:00:00+00:00,31413
2017-02-24T00:00:00+00:00,31493
2017-03-03T00:00:00+00:00,31572
2017-03-10T00:00:00+00:00,31625
2017-03-17T00:00:00+00:00,31715
2017-03-24T00:00:00+00:00,31783
2017-03-31T00:00:00+00:00,31854
2017-04-07T00:00:00+00:00,31917
2017-04-14T00:00:00+00:00,31969
2017-04-21T00:00:00+00:00,32097
2017-04-28T00:00:00+00:00,32302
2017-05-05T00:00:00+00:00,32479
2017-05-12T00:00:00+00:00,32702
2017-05-19T00:00:00+00:00,33027
2017-05-26T00:00:00+00:00,33300
2017-06-02T00:00:00+00:00,33856
2017-06-09T00:00:00+00:00,34121
2017-06-16T00:00:00+00:00,34350
2017-06-23T00:00:00+00:00,34582
2017-06-30T00:00:00+00:00,34856
2017-07-07T00:00:00+00:00,35478
2017-07-14T00:00:00+00:00,36586
2017-07-21T00:00:00+00:00,36846
2017-07-28T00:00:00+00:00,37111
2017-08-04T00:00:00+00:00,37469
2017-08-11T00:00:00+00:00,37731
2017-08-18T00:00:00+00:00,37948
2017-08-25T00:00:00+00:00,38240
2017-09-01T00:00:00+00:00,38468
2017-09-08T00:00:00+00:00,38636
2017-09-15T00:00:00+00:00,38814
2017-09-22T00:00:00+00:00,38947
2017-09-29T00:00:00+00:00,39927
2017-10-06T00:00:00+00:00,40293
2017-10-13T00:00:00+00:00,40457
2017-10-20T00:00:00+00:00,40620
2017-10-27T00:00:00+00:00,41274
2017-11-03T00:00:00+00:00,41591
2017-11-10T00:00:00+00:00,41866
2017-11-17T00:00:00+00:00,41972
2017-11-24T00:00:00+00:00,42066
2017-12-01T00:00:00+00:00,42166
2017-12-08T00:00:00+00:00,42239
2017-12-15T00:00:00+00:00,42275
2017-12-22T00:00:00+00:00,42350
2017-12-29T00:00:00+00:00,42410
2018-01-05T00:00:00+00:00,42469
2018-01-12T00:00:00+00:00,42532
2018-01-19T00:00:00+00:00,42591
2018-01-26T00:00:00+00:00,42686
2018-02-02T00:00:00+00:00,42783
2018-02-09T00:00:00+00:00,42849
2018-02-16T00:00:00+00:00,42910
2018-02-23T00:00:00+00:00,42995
2018-03-02T00:00:00+00:00,43100
2018-03-09T00:00:00+00:00,43198
2018-03-16T00:00:00+00:00,43271
2018-03-23T00:00:00+00:00,43334
2018-03-30T00:00:00+00:00,43413
2018-04-06T00:00:00+00:00,43559
2018-04-13T00:00:00+00:00,43668
2018-04-20T00:00:00+00:00,43790
2018-04-27T00:00:00+00:00,43949
2018-05-04T00:00:00+00:00,44164
2018-05-11T00:00:00+00:00,44315
2018-05-18T00:00:00+00:00,44441
2018-05-25T00:00:00+00:00,44999
2018-06-01T00:00:00+00:00,46209
2018-06-08T00:00:00+00:00,47389
2018-06-15T00:00:00+00:00,47903
2018-06-22T00:00:00+00:00,48269
2018-06-29T00:00:00+00:00,48815
2018-07-06T00:00:00+00:00,49113
2018-07-13T00:00:00+00:00,49465
2018-07-20T00:00:00+00:00,49708
2018-07-27T00:00:00+00:00,50066
2018-08-03T00:00:00+00:00,51456
2018-08-10T00:00:00+00:00,53058
2018-08-17T00:00:00+00:00,53518
2018-08-24T00:00:00+00:00,54012
2018-08-31T00:00:00+00:00,54384
2018-09-07T00:00:00+00:00,54672
2018-09-14T00:00:00+00:00,54919
2018-09-21T00:00:00+00:00,55169
2018-09-28T00:00:00+00:00,55568
2018-10-05T00:00:00+00:00,55956
2018-10-12T00:00:00+00:00,56213
2018-10-19T00:00:00+00:00,56416
2018-10-26T00:00:00+00:00,56569
2018-11-02T00:00:00+00:00,56704
2018-11-09T00:00:00+00:00,56833
2018-11-16T00:00:00+00:00,56928
2018-11-23T00:00:00+00:00,57065
2018-11-30T00:00:00+00:00,57153
2018-12-07T00:00:00+00:00,57293
2018-12-14T00:00:00+00:00,57413
2018-12-21T00:00:00+00:00,57513
2018-12-28T00:00:00+00:00,57588
2019-01-04T00:00:00+00:00,57720
2019-01-11T00:00:00+00:00,57866
2019-01-18T00:00:00+00:00,58242
2019-01-25T00:00:00+00:00,58407
2019-02-01T00:00:00+00:00,58589
2019-02-08T00:00:00+00:00,58760
2019-02-15T00:00:00+00:00,58972
2019-02-22T00:00:00+00:00,59113
