"","days","number_down"
"1",1,0.142857142857143
"2",2,0.142857142857143
"3",3,0.142857142857143
"4",4,0.142857142857143
"5",5,0.142857142857143
"6",6,0.142857142857143
"7",7,33
"8",8,33
"9",9,33
"10",10,33
"11",11,33
"12",12,33
"13",13,33
"14",14,287.857142857143
"15",15,287.857142857143
"16",16,287.857142857143
"17",17,287.857142857143
"18",18,287.857142857143
"19",19,287.857142857143
"20",20,287.857142857143
"21",21,190.142857142857
"22",22,190.142857142857
"23",23,190.142857142857
"24",24,190.142857142857
"25",25,190.142857142857
"26",26,190.142857142857
"27",27,190.142857142857
"28",28,25.8571428571429
"29",29,25.8571428571429
"30",30,25.8571428571429
"31",31,25.8571428571429
"32",32,25.8571428571429
"33",33,25.8571428571429
"34",34,25.8571428571429
"35",35,135.285714285714
"36",36,135.285714285714
"37",37,135.285714285714
"38",38,135.285714285714
"39",39,135.285714285714
"40",40,135.285714285714
"41",41,135.285714285714
"42",42,23.5714285714286
"43",43,23.5714285714286
"44",44,23.5714285714286
"45",45,23.5714285714286
"46",46,23.5714285714286
"47",47,23.5714285714286
"48",48,23.5714285714286
"49",49,36.5714285714286
"50",50,36.5714285714286
"51",51,36.5714285714286
"52",52,36.5714285714286
"53",53,36.5714285714286
"54",54,36.5714285714286
"55",55,36.5714285714286
"56",56,23.2857142857143
"57",57,23.2857142857143
"58",58,23.2857142857143
"59",59,23.2857142857143
"60",60,23.2857142857143
"61",61,23.2857142857143
"62",62,23.2857142857143
"63",63,21
"64",64,21
"65",65,21
"66",66,21
"67",67,21
"68",68,21
"69",69,21
"70",70,16.8571428571429
"71",71,16.8571428571429
"72",72,16.8571428571429
"73",73,16.8571428571429
"74",74,16.8571428571429
"75",75,16.8571428571429
"76",76,16.8571428571429
"77",77,14.1428571428571
"78",78,14.1428571428571
"79",79,14.1428571428571
"80",80,14.1428571428571
"81",81,14.1428571428571
"82",82,14.1428571428571
"83",83,14.1428571428571
"84",84,14.1428571428571
"85",85,14.1428571428571
"86",86,14.1428571428571
"87",87,14.1428571428571
"88",88,14.1428571428571
"89",89,14.1428571428571
"90",90,14.1428571428571
"91",91,10
"92",92,10
"93",93,10
"94",94,10
"95",95,10
"96",96,10
"97",97,10
"98",98,18.7142857142857
"99",99,18.7142857142857
"100",100,18.7142857142857
"101",101,18.7142857142857
"102",102,18.7142857142857
"103",103,18.7142857142857
"104",104,18.7142857142857
"105",105,6.85714285714286
"106",106,6.85714285714286
"107",107,6.85714285714286
"108",108,6.85714285714286
"109",109,6.85714285714286
"110",110,6.85714285714286
"111",111,6.85714285714286
"112",112,16.5714285714286
"113",113,16.5714285714286
"114",114,16.5714285714286
"115",115,16.5714285714286
"116",116,16.5714285714286
"117",117,16.5714285714286
"118",118,16.5714285714286
"119",119,14.5714285714286
"120",120,14.5714285714286
"121",121,14.5714285714286
"122",122,14.5714285714286
"123",123,14.5714285714286
"124",124,14.5714285714286
"125",125,14.5714285714286
"126",126,22.8571428571429
"127",127,22.8571428571429
"128",128,22.8571428571429
"129",129,22.8571428571429
"130",130,22.8571428571429
"131",131,22.8571428571429
"132",132,22.8571428571429
"133",133,12.7142857142857
"134",134,12.7142857142857
"135",135,12.7142857142857
"136",136,12.7142857142857
"137",137,12.7142857142857
"138",138,12.7142857142857
"139",139,12.7142857142857
"140",140,4.85714285714286
"141",141,4.85714285714286
"142",142,4.85714285714286
"143",143,4.85714285714286
"144",144,4.85714285714286
"145",145,4.85714285714286
"146",146,4.85714285714286
"147",147,12.5714285714286
"148",148,12.5714285714286
"149",149,12.5714285714286
"150",150,12.5714285714286
"151",151,12.5714285714286
"152",152,12.5714285714286
"153",153,12.5714285714286
"154",154,25.5714285714286
"155",155,25.5714285714286
"156",156,25.5714285714286
"157",157,25.5714285714286
"158",158,25.5714285714286
"159",159,25.5714285714286
"160",160,25.5714285714286
"161",161,4.42857142857143
"162",162,4.42857142857143
"163",163,4.42857142857143
"164",164,4.42857142857143
"165",165,4.42857142857143
"166",166,4.42857142857143
"167",167,4.42857142857143
"168",168,3.14285714285714
"169",169,3.14285714285714
"170",170,3.14285714285714
"171",171,3.14285714285714
"172",172,3.14285714285714
"173",173,3.14285714285714
"174",174,3.14285714285714
"175",175,3.42857142857143
"176",176,3.42857142857143
"177",177,3.42857142857143
"178",178,3.42857142857143
"179",179,3.42857142857143
"180",180,3.42857142857143
"181",181,3.42857142857143
"182",182,1.85714285714286
"183",183,1.85714285714286
"184",184,1.85714285714286
"185",185,1.85714285714286
"186",186,1.85714285714286
"187",187,1.85714285714286
"188",188,1.85714285714286
"189",189,1.42857142857143
"190",190,1.42857142857143
"191",191,1.42857142857143
"192",192,1.42857142857143
"193",193,1.42857142857143
"194",194,1.42857142857143
"195",195,1.42857142857143
"196",196,2.42857142857143
"197",197,2.42857142857143
"198",198,2.42857142857143
"199",199,2.42857142857143
"200",200,2.42857142857143
"201",201,2.42857142857143
"202",202,2.42857142857143
"203",203,2
"204",204,2
"205",205,2
"206",206,2
"207",207,2
"208",208,2
"209",209,2
"210",210,2.14285714285714
"211",211,2.14285714285714
"212",212,2.14285714285714
"213",213,2.14285714285714
"214",214,2.14285714285714
"215",215,2.14285714285714
"216",216,2.14285714285714
"217",217,2.14285714285714
"218",218,2.14285714285714
"219",219,2.14285714285714
"220",220,2.14285714285714
"221",221,2.14285714285714
"222",222,2.14285714285714
"223",223,2.14285714285714
"224",224,0.714285714285714
"225",225,0.714285714285714
"226",226,0.714285714285714
"227",227,0.714285714285714
"228",228,0.714285714285714
"229",229,0.714285714285714
