x,n,lx,lxn,nqx,ndx,nax,nLx,nmx
1421,7,17,17,0,0,NA,NA,NA
1428,7,17,16,0.05882352941176472,1,6.457203587964159,118.45720358796416,0.008441867355558652
1435,7,16,15,0.0625,1,2.716313194444865,107.71631319444487,0.00928364488482671
1442,7,15,14,0.06666666666666665,1,4.162274039351814,102.16227403935181,0.009788349069195647
1449,7,14,13,0.0714285714285714,1,5.622971527777963,96.62297152777796,0.010349505756118376
1456,7,13,12,0.07692307692307687,1,4.579567592593776,88.57956759259378,0.011289285183681693
1463,7,12,12,0,0,NA,NA,NA
1470,7,12,12,0,0,NA,NA,NA
1477,7,12,12,0,0,NA,NA,NA
1484,7,12,12,0,0,NA,NA,NA
1491,7,12,12,0,0,NA,NA,NA
1498,7,12,12,0,0,NA,NA,NA
1505,7,12,12,0,0,NA,NA,NA
1512,7,12,12,0,0,NA,NA,NA
1519,7,12,12,0,0,NA,NA,NA
1526,7,12,12,0,0,NA,NA,NA
1533,7,12,11,0.08333333333333337,1,0.9483189467589455,77.94831894675895,0.012829013037253955
1540,7,11,11,0,0,NA,NA,NA
1547,7,11,11,0,0,NA,NA,NA
1554,7,11,11,0,0,NA,NA,NA
1561,7,11,9,0.18181818181818177,2,4.1080930266213045,71.21618605324261,0.02808350335561021
1568,7,9,9,0,0,NA,NA,NA
1575,7,9,9,0,0,NA,NA,NA
1582,7,9,9,0,0,NA,NA,NA
1589,7,9,9,0,0,NA,NA,NA
1596,7,9,9,0,0,NA,NA,NA
1603,7,9,9,0,0,NA,NA,NA
1610,7,9,8,0.11111111111111116,1,3.2070689814813704,59.20706898148137,0.016889875097731613
1617,7,8,8,0,0,NA,NA,NA
1624,7,8,8,0,0,NA,NA,NA
1631,7,8,8,0,0,NA,NA,NA
1638,7,8,8,0,0,NA,NA,NA
1645,7,8,8,0,0,NA,NA,NA
1652,7,8,8,0,0,NA,NA,NA
1659,7,8,8,0,0,NA,NA,NA
1666,7,8,8,0,0,NA,NA,NA
1673,7,8,8,0,0,NA,NA,NA
1680,7,8,8,0,0,NA,NA,NA
1687,7,8,8,0,0,NA,NA,NA
1694,7,8,8,0,0,NA,NA,NA
1701,7,8,8,0,0,NA,NA,NA
1708,7,8,8,0,0,NA,NA,NA
1715,7,8,8,0,0,NA,NA,NA
1722,7,8,8,0,0,NA,NA,NA
1729,7,8,8,0,0,NA,NA,NA
1736,7,8,7,0.125,1,1.8662823842603302,50.86628238426033,0.019659388363507224
1743,7,7,7,0,0,NA,NA,NA
1750,7,7,7,0,0,NA,NA,NA
1757,7,7,7,0,0,NA,NA,NA
1764,7,7,7,0,0,NA,NA,NA
1771,7,7,7,0,0,NA,NA,NA
1778,7,7,7,0,0,NA,NA,NA
1785,7,7,6,0.1428571428571429,1,4.127251736110566,46.127251736110566,0.0216791584662555
1792,7,6,6,0,0,NA,NA,NA
1799,7,6,6,0,0,NA,NA,NA
1806,7,6,6,0,0,NA,NA,NA
1813,7,6,6,0,0,NA,NA,NA
1820,7,6,6,0,0,NA,NA,NA
1827,7,6,6,0,0,NA,NA,NA
1834,7,6,6,0,0,NA,NA,NA
1841,7,6,5,0.16666666666666663,1,1.1565042708346027,36.1565042708346,0.027657541019711997
1848,7,5,5,0,0,NA,NA,NA
1855,7,5,5,0,0,NA,NA,NA
1862,7,5,4,0.19999999999999996,1,4.004853576388541,32.00485357638854,0.03124526089810785
1869,7,4,4,0,0,NA,NA,NA
1876,7,4,4,0,0,NA,NA,NA
1883,7,4,4,0,0,NA,NA,NA
1890,7,4,4,0,0,NA,NA,NA
1897,7,4,4,0,0,NA,NA,NA
1904,7,4,4,0,0,NA,NA,NA
1911,7,4,4,0,0,NA,NA,NA
1918,7,4,4,0,0,NA,NA,NA
1925,7,4,4,0,0,NA,NA,NA
1932,7,4,4,0,0,NA,NA,NA
1939,7,4,4,0,0,NA,NA,NA
1946,7,4,4,0,0,NA,NA,NA
1953,7,4,4,0,0,NA,NA,NA
1960,7,4,4,0,0,NA,NA,NA
1967,7,4,3,0.25,1,5.167373842594316,26.167373842594316,0.038215527703136784
1974,7,3,2,0.33333333333333337,1,3.85889167824007,17.85889167824007,0.05599451623408617
1981,7,2,2,0,0,NA,NA,NA
1988,7,2,2,0,0,NA,NA,NA
1995,7,2,2,0,0,NA,NA,NA
2002,7,2,2,0,0,NA,NA,NA
2009,7,2,2,0,0,NA,NA,NA
2016,7,2,2,0,0,NA,NA,NA
2023,7,2,2,0,0,NA,NA,NA
2030,7,2,2,0,0,NA,NA,NA
2037,7,2,2,0,0,NA,NA,NA
2044,7,2,2,0,0,NA,NA,NA
2051,7,2,2,0,0,NA,NA,NA
2058,7,2,2,0,0,NA,NA,NA
2065,7,2,2,0,0,NA,NA,NA
2072,7,2,2,0,0,NA,NA,NA
2079,7,2,2,0,0,NA,NA,NA
2086,7,2,2,0,0,NA,NA,NA
2093,7,2,2,0,0,NA,NA,NA
2100,7,2,2,0,0,NA,NA,NA
2107,7,2,2,0,0,NA,NA,NA
2114,7,2,2,0,0,NA,NA,NA
2121,7,2,2,0,0,NA,NA,NA
2128,7,2,2,0,0,NA,NA,NA
2135,7,2,2,0,0,NA,NA,NA
2142,7,2,2,0,0,NA,NA,NA
2149,7,2,2,0,0,NA,NA,NA
2156,7,2,2,0,0,NA,NA,NA
2163,7,2,2,0,0,NA,NA,NA
2170,7,2,2,0,0,NA,NA,NA
2177,7,2,2,0,0,NA,NA,NA
2184,7,2,2,0,0,NA,NA,NA
2191,7,2,2,0,0,NA,NA,NA
2198,7,2,2,0,0,NA,NA,NA
2205,7,2,2,0,0,NA,NA,NA
2212,7,2,2,0,0,NA,NA,NA
2219,7,2,2,0,0,NA,NA,NA
2226,7,2,2,0,0,NA,NA,NA
2233,7,2,1,0.5,1,0.49882425925807183,7.498824259258072,0.13335423866820148
2240,7,1,1,0,0,NA,NA,NA
2247,7,1,1,0,0,NA,NA,NA
2254,7,1,1,0,0,NA,NA,NA
2261,7,1,1,0,0,NA,NA,NA
2268,7,1,1,0,0,NA,NA,NA
2275,7,1,1,0,0,NA,NA,NA
2282,7,1,1,0,0,NA,NA,NA
2289,7,1,1,0,0,NA,NA,NA
2296,7,1,1,0,0,NA,NA,NA
2303,7,1,1,0,0,NA,NA,NA
2310,7,1,1,0,0,NA,NA,NA
2317,7,1,1,0,0,NA,NA,NA
2324,7,1,1,0,0,NA,NA,NA
2331,7,1,1,0,0,NA,NA,NA
2338,7,1,1,0,0,NA,NA,NA
2345,7,1,1,0,0,NA,NA,NA
2352,7,1,1,0,0,NA,NA,NA
2359,7,1,1,0,0,NA,NA,NA
2366,7,1,1,0,0,NA,NA,NA
2373,7,1,1,0,0,NA,NA,NA
2380,7,1,1,0,0,NA,NA,NA
2387,7,1,1,0,0,NA,NA,NA
2394,7,1,1,0,0,NA,NA,NA
2401,7,1,1,0,0,NA,NA,NA
2408,7,1,1,0,0,NA,NA,NA
2415,7,1,1,0,0,NA,NA,NA
2422,7,1,1,0,0,NA,NA,NA
2429,7,1,1,0,0,NA,NA,NA
2436,7,1,1,0,0,NA,NA,NA
2443,7,1,1,0,0,NA,NA,NA
2450,7,1,1,0,0,NA,NA,NA
2457,7,1,1,0,0,NA,NA,NA
2464,7,1,1,0,0,NA,NA,NA
2471,7,1,1,0,0,NA,NA,NA
2478,7,1,1,0,0,NA,NA,NA
2485,7,1,1,0,0,NA,NA,NA
2492,7,1,1,0,0,NA,NA,NA
2499,7,1,1,0,0,NA,NA,NA
2506,7,1,1,0,0,NA,NA,NA
2513,7,1,1,0,0,NA,NA,NA
2520,7,1,1,0,0,NA,NA,NA
2527,7,1,1,0,0,NA,NA,NA
2534,7,1,1,0,0,NA,NA,NA
2541,7,1,1,0,0,NA,NA,NA
2548,7,1,1,0,0,NA,NA,NA
2555,7,1,1,0,0,NA,NA,NA
2562,7,1,1,0,0,NA,NA,NA
2569,7,1,1,0,0,NA,NA,NA
2576,7,1,1,0,0,NA,NA,NA
2583,7,1,1,0,0,NA,NA,NA
2590,7,1,1,0,0,NA,NA,NA
2597,7,1,1,0,0,NA,NA,NA
2604,7,1,1,0,0,NA,NA,NA
2611,6,1,0,1,1,5.45102785879817,5.45102785879817,0.18345163992988245
